count_elements,add_at_begin,add_at_middle,add_at_end,remove_at_begin,remove_at_middle,remove_at_end,modify_all_index,modify_parity_idx
1000,0,0,0,0,1,0,0,0
5000,0,37,0,0,38,0,0,0
10000,0,158,0,1,159,1,0,0
15000,0,383,0,2,386,2,0,0
20000,1,719,1,3,725,3,0,0
25000,1,1172,1,3,1166,3,0,0
30000,1,1731,1,4,1721,4,0,0
35000,2,2391,2,5,2444,5,0,0
40000,2,3525,2,6,3227,6,0,0
45000,2,4298,2,7,4263,7,0,0
50000,2,5880,3,8,5914,7,0,0
