count_elements,add_at_begin,add_at_middle,add_at_end,remove_at_begin,remove_at_middle,remove_at_end,modify_all_index,modify_parity_idx
1000,0,0,0,0,0,0,0,0
5000,5,4,1,4,3,0,0,0
10000,13,10,2,14,8,0,0,0
15000,21,8,1,27,7,0,0,0
20000,23,12,2,19,10,0,0,0
25000,37,19,2,31,15,0,0,0
30000,52,27,3,44,22,0,0,0
35000,71,36,3,60,30,0,0,0
40000,92,47,4,77,39,0,0,0
45000,116,59,4,97,50,0,0,0
50000,147,73,5,122,61,0,0,0
